country,year,population_total,internet_use,suicide_total,GDP,cell_use
Armenia,1991,3510000,0.0,136.0,3340,0.0
Australia,1991,17200000,189000.0,2380.0,28200,291000.0
Austria,1991,7770000,20100.0,1940.0,32100,115000.0
Azerbaijan,1991,7360000,0.0,209.0,8590,0.0
Bahamas,1991,261000,0.0,6.88,29200,2020.0
Bahrain,1991,510000,0.0,36.9,38000,7350.0
Bangladesh,1991,106000000,0.0,12600.0,1340,0.0
Barbados,1991,262000,0.0,12.4,13500,486.0
Belarus,1991,10200000,0.0,2630.0,8260,0.0
Belgium,1991,10000000,2020.0,2260.0,31100,51400.0
Belize,1991,191000,0.0,7.68,5600,0.0
Benin,1991,5150000,0.0,319.0,1470,0.0
Bhutan,1991,535000,0.0,35.4,2330,0.0
Bolivia,1991,7010000,0.0,458.0,3820,295.0
Bosnia and Herzegovina,1991,4370000,0.0,553.0,2420,0.0
Botswana,1991,1330000,0.0,155.0,8860,0.0
Brazil,1991,152000000,4990.0,9090.0,10300,6700.0
Brunei,1991,266000,0.0,10.7,84900,3030.0
Bulgaria,1991,8770000,0.0,1630.0,8600,0.0
Burkina Faso,1991,9050000,0.0,593.0,897,0.0
Burundi,1991,5560000,0.0,611.0,1050,0.0
Cambodia,1991,9290000,0.0,486.0,896,0.0
Cameroon,1991,12100000,0.0,842.0,2800,0.0
Canada,1991,27900000,159000.0,3980.0,30400,776000.0
Cape Verde,1991,346000,0.0,33.8,1660,0.0
Central African Republic,1991,2880000,0.0,260.0,953,0.0
Chad,1991,6160000,0.0,258.0,1170,0.0
Chile,1991,13500000,0.0,2310.0,9510,36100.0
China,1991,1190000000,0.0,242000.0,1640,47500.0
Colombia,1991,33800000,0.0,1950.0,7730,0.0
Comoros,1991,424000,0.0,19.3,2370,0.0
"Congo, Dem. Rep.",1991,35900000,0.0,2040.0,1220,0.0
"Congo, Rep.",1991,2420000,0.0,192.0,5300,0.0
Costa Rica,1991,3200000,0.0,170.0,7720,0.0
Cote d'Ivoire,1991,12400000,0.0,948.0,3170,0.0
Croatia,1991,4760000,0.0,1240.0,13700,2020.0
Cuba,1991,10700000,0.0,2220.0,5700,0.0
Cyprus,1991,783000,0.0,41.0,22100,5130.0
Czech Republic,1991,10300000,0.0,2190.0,17700,1240.0
Denmark,1991,5150000,10000.0,1470.0,34200,176000.0
Djibouti,1991,607000,0.0,19.5,2930,0.0
Dominica,1991,70400,0.0,2.19,6750,0.0
Dominican Republic,1991,7270000,0.0,283.0,5460,5610.0
Ecuador,1991,10500000,0.0,579.0,7600,0.0
Egypt,1991,57400000,0.0,1710.0,5830,4500.0
El Salvador,1991,5340000,0.0,634.0,4520,0.0
Equatorial Guinea,1991,433000,0.0,39.0,1670,0.0
Eritrea,1991,2270000,0.0,229.0,1390,0.0
Estonia,1991,1550000,0.0,502.0,12900,570.0
Eswatini,1991,845000,0.0,81.8,5580,0.0
Ethiopia,1991,49600000,0.0,4620.0,587,0.0
Fiji,1991,735000,0.0,85.2,5680,0.0
Finland,1991,5020000,70100.0,1540.0,27000,319000.0
France,1991,56900000,79700.0,14900.0,29600,375000.0
Gabon,1991,976000,0.0,86.0,20200,0.0
Gambia,1991,993000,0.0,33.0,1440,0.0
Georgia,1991,5370000,0.0,306.0,6260,0.0
Germany,1991,79500000,199000.0,14600.0,32600,532000.0
Ghana,1991,15200000,0.0,618.0,1940,0.0
Greece,1991,10300000,5030.0,449.0,21100,0.0
Grenada,1991,96500,0.0,4.42,7330,147.0
Guatemala,1991,9480000,0.0,648.0,5170,1220.0
Guinea,1991,6530000,0.0,263.0,1340,0.0
Guinea-Bissau,1991,998000,0.0,68.8,1680,0.0
Guyana,1991,744000,0.0,151.0,3050,0.0
Haiti,1991,7180000,0.0,595.0,2110,0.0
Honduras,1991,5100000,0.0,148.0,3010,0.0
Hungary,1991,10400000,351.0,4190.0,15200,8480.0
Iceland,1991,258000,1300.0,38.7,29700,12900.0
India,1991,891000000,0.0,169000.0,1890,0.0
Indonesia,1991,185000000,0.0,6190.0,4860,24500.0
Iran,1991,57700000,0.0,3070.0,12500,0.0
Iraq,1991,17900000,0.0,1100.0,4050,0.0
Ireland,1991,3520000,2000.0,375.0,22000,32000.0
Israel,1991,4590000,9850.0,428.0,21000,23000.0
Italy,1991,57100000,20000.0,5540.0,31600,568000.0
Jamaica,1991,2440000,0.0,35.7,7590,2450.0
Japan,1991,125000000,50500.0,24500.0,31500,1380000.0
Jordan,1991,3760000,0.0,125.0,6070,1460.0
Kazakhstan,1991,16400000,0.0,3800.0,11500,0.0
Kenya,1991,24500000,0.0,899.0,2300,0.0
Kiribati,1991,73700,0.0,16.0,1910,0.0
Kuwait,1991,2030000,0.0,36.9,24300,43000.0
Kyrgyz Republic,1991,4420000,0.0,607.0,3150,0.0
Lao,1991,4380000,0.0,546.0,1730,0.0
Latvia,1991,2650000,0.0,872.0,12900,0.0
Lebanon,1991,2920000,0.0,101.0,8010,0.0
Lesotho,1991,1740000,0.0,268.0,1360,0.0
Liberia,1991,2040000,0.0,120.0,932,0.0
Libya,1991,4540000,0.0,141.0,25700,0.0
Lithuania,1991,3700000,0.0,1310.0,14600,0.0
Luxembourg,1991,386000,0.0,76.6,61800,1140.0
Madagascar,1991,11900000,0.0,734.0,1500,0.0
Malawi,1991,9600000,0.0,519.0,795,0.0
Malaysia,1991,18500000,0.0,1310.0,11300,130000.0
Maldives,1991,230000,0.0,13.5,6680,0.0
Mali,1991,8640000,0.0,296.0,1390,0.0
Malta,1991,365000,0.0,20.7,16700,2280.0
Marshall Islands,1991,48400,0.0,7.48,2840,0.0
Mauritania,1991,2090000,0.0,70.8,2780,0.0
Mauritius,1991,1070000,0.0,138.0,7830,2500.0
Mexico,1991,85500000,5030.0,3150.0,13900,161000.0
"Micronesia, Fed. Sts.",1991,98800,0.0,17.7,2850,0.0
Moldova,1991,4380000,0.0,881.0,6560,0.0
Mongolia,1991,2220000,0.0,366.0,4610,0.0
Montenegro,1991,616000,0.0,64.2,16100,0.0
Morocco,1991,25300000,0.0,1030.0,4130,1500.0
Mozambique,1991,13300000,0.0,979.0,395,0.0
Myanmar,1991,41900000,0.0,3150.0,716,0.0
Namibia,1991,1480000,0.0,156.0,6000,0.0
Nepal,1991,19400000,0.0,2310.0,1230,0.0
Netherlands,1991,15100000,80100.0,2030.0,32800,115000.0
New Zealand,1991,3450000,0.0,500.0,22700,72300.0
Nicaragua,1991,4270000,0.0,230.0,2900,0.0
Niger,1991,8290000,0.0,270.0,886,0.0
Nigeria,1991,97700000,0.0,3900.0,3290,0.0
North Korea,1991,20600000,0.0,2350.0,2240,0.0
North Macedonia,1991,1990000,0.0,187.0,9050,0.0
Norway,1991,4270000,60100.0,696.0,43900,234000.0
Oman,1991,1890000,0.0,44.5,35600,3670.0
Pakistan,1991,111000000,0.0,3650.0,3120,8500.0
Palestine,1991,2190000,0.0,44.0,2390,0.0
Panama,1991,2520000,0.0,136.0,8420,0.0
Papua New Guinea,1991,4730000,0.0,673.0,2370,0.0
Paraguay,1991,4330000,0.0,140.0,8000,0.0
Peru,1991,22500000,0.0,798.0,5260,5700.0
Philippines,1991,63500000,0.0,6610.0,3890,34600.0
Poland,1991,38100000,1990.0,6070.0,9520,0.0
Portugal,1991,9920000,9940.0,1580.0,21100,12600.0
Qatar,1991,487000,0.0,40.6,67800,4060.0
Romania,1991,23500000,0.0,2430.0,10100,0.0
Russia,1991,148000000,0.0,48100.0,19600,300.0
Rwanda,1991,7080000,0.0,593.0,871,0.0
Samoa,1991,164000,0.0,25.3,3540,0.0
Sao Tome and Principe,1991,122000,0.0,1.93,2020,0.0
Saudi Arabia,1991,16800000,0.0,346.0,47500,15300.0
Senegal,1991,7760000,0.0,438.0,2310,0.0
Serbia,1991,9600000,0.0,1900.0,13300,0.0
Seychelles,1991,71400,0.0,11.2,14400,0.0
Sierra Leone,1991,4350000,0.0,152.0,1270,0.0
Singapore,1991,3100000,5010.0,421.0,36200,81900.0
Slovak Republic,1991,5310000,0.0,865.0,12400,119.0
Slovenia,1991,2010000,0.0,676.0,17200,523.0
Solomon Islands,1991,321000,0.0,48.8,1940,0.0
Somalia,1991,7270000,0.0,325.0,921,0.0
South Africa,1991,37700000,5010.0,6350.0,9560,7100.0
South Korea,1991,43400000,20000.0,5760.0,12700,166000.0
South Sudan,1991,5420000,0.0,181.0,2180,0.0
Spain,1991,39300000,10100.0,3510.0,24300,108000.0
Sri Lanka,1991,17500000,0.0,6440.0,3730,1800.0
St. Lucia,1991,140000,0.0,8.13,9530,0.0
St. Vincent and the Grenadines,1991,108000,0.0,5.32,5630,0.0
Sudan,1991,20900000,0.0,770.0,1850,0.0
Suriname,1991,413000,0.0,69.0,10500,0.0
Sweden,1991,8630000,100000.0,1830.0,30400,568000.0
Switzerland,1991,6720000,79300.0,1900.0,47100,175000.0
Syria,1991,12800000,0.0,234.0,4540,0.0
Tajikistan,1991,5400000,0.0,277.0,3330,0.0
Tanzania,1991,26100000,0.0,1530.0,1530,0.0
Thailand,1991,57200000,30.0,7800.0,7140,124000.0
Timor-Leste,1991,760000,0.0,73.9,2780,0.0
Togo,1991,3860000,0.0,247.0,1260,0.0
Tonga,1991,95200,0.0,6.38,3800,0.0
Trinidad and Tobago,1991,1230000,0.0,158.0,11200,426.0
Tunisia,1991,8430000,0.0,252.0,5700,1240.0
Turkey,1991,54800000,0.0,2230.0,11300,47800.0
Turkmenistan,1991,3790000,0.0,302.0,7710,0.0
Uganda,1991,18000000,0.0,1900.0,789,0.0
Ukraine,1991,51500000,0.0,13400.0,9560,0.0
United Arab Emirates,1991,1940000,0.0,77.6,107000,43000.0
United Kingdom,1991,57300000,99800.0,6280.0,26300,1260000.0
United States,1991,255000000,2960000.0,34700.0,36300,7560000.0
Uruguay,1991,3130000,0.0,421.0,10100,0.0
Uzbekistan,1991,20900000,0.0,1660.0,3010,0.0
Vanuatu,1991,151000,0.0,22.9,2560,0.0
Venezuela,1991,20100000,0.0,1250.0,15700,16600.0
Vietnam,1991,69400000,0.0,6320.0,1510,0.0
Yemen,1991,12300000,0.0,493.0,3470,0.0
Zambia,1991,8250000,0.0,464.0,2280,0.0
Zimbabwe,1991,10700000,0.0,670.0,2910,0.0
Afghanistan,1992,14500000,0.0,820.0,1520,0.0
Albania,1992,3250000,0.0,131.0,3020,0.0
Algeria,1992,27000000,0.0,843.0,9870,4780.0
Andorra,1992,58900,0.0,6.18,27200,770.0
Angola,1992,12700000,0.0,667.0,4240,0.0
Antigua and Barbuda,1992,64500,0.0,1.32,17500,0.0
Argentina,1992,33500000,1000.0,3580.0,13000,46600.0
Armenia,1992,3440000,0.0,146.0,1980,0.0
Australia,1992,17400000,308000.0,2390.0,28000,497000.0
Austria,1992,7830000,50300.0,1920.0,32400,172000.0
Azerbaijan,1992,7470000,0.0,224.0,6550,0.0
Bahamas,1992,266000,0.0,7.05,27500,2600.0
Bahrain,1992,523000,0.0,39.3,39500,9680.0
Bangladesh,1992,108000000,0.0,13200.0,1380,250.0
Barbados,1992,263000,0.0,12.7,12500,796.0
Belarus,1992,10200000,0.0,2880.0,7450,0.0
Belgium,1992,10100000,10100.0,2300.0,31400,61500.0
Belize,1992,194000,0.0,8.06,6170,0.0
Benin,1992,5330000,0.0,335.0,1470,0.0
Bhutan,1992,535000,0.0,34.4,2440,0.0
Bolivia,1992,7160000,0.0,473.0,3800,1550.0
Bosnia and Herzegovina,1992,4230000,0.0,547.0,1830,0.0
Botswana,1992,1360000,0.0,165.0,8870,0.0
Brazil,1992,154000000,20000.0,9280.0,10100,32000.0
Brunei,1992,274000,0.0,11.0,86400,4100.0
Bulgaria,1992,8680000,0.0,1690.0,8060,0.0
Burkina Faso,1992,9300000,0.0,604.0,875,0.0
Burundi,1992,5690000,0.0,625.0,1040,0.0
Cambodia,1992,9620000,0.0,502.0,918,0.0
Cameroon,1992,12500000,0.0,894.0,2640,0.0
Canada,1992,28200000,259000.0,4040.0,30300,1030000.0
Cape Verde,1992,356000,0.0,35.9,1790,0.0
Central African Republic,1992,2960000,0.0,264.0,867,0.0
Chad,1992,6360000,0.0,273.0,1220,0.0
Chile,1992,13700000,5010.0,2190.0,10400,64400.0
China,1992,1210000000,0.0,245000.0,1850,177000.0
Colombia,1992,34400000,0.0,2010.0,7890,0.0
Comoros,1992,436000,0.0,19.9,2500,0.0
"Congo, Dem. Rep.",1992,37300000,0.0,2100.0,1050,0.0
"Congo, Rep.",1992,2490000,0.0,195.0,5290,0.0
Costa Rica,1992,3290000,37.0,177.0,8210,3010.0
Cote d'Ivoire,1992,12800000,0.0,1020.0,3050,0.0
Croatia,1992,4730000,0.0,1250.0,12200,6320.0
Cuba,1992,10700000,0.0,2250.0,4780,234.0
Cyprus,1992,801000,401.0,41.0,23500,9740.0
Czech Republic,1992,10400000,0.0,2150.0,17600,4650.0
Denmark,1992,5170000,20000.0,1430.0,34700,211000.0
Djibouti,1992,615000,0.0,20.3,2890,0.0
Dominica,1992,70500,0.0,2.3,6870,0.0
Dominican Republic,1992,7410000,0.0,300.0,5960,7190.0
Ecuador,1992,10700000,548.0,617.0,7590,0.0
Egypt,1992,58700000,0.0,1710.0,5960,4910.0
El Salvador,1992,5420000,0.0,618.0,4770,0.0
Equatorial Guinea,1992,447000,0.0,39.4,1910,0.0
Eritrea,1992,2260000,0.0,219.0,1540,0.0
Estonia,1992,1520000,996.0,523.0,11300,2500.0
Eswatini,1992,867000,0.0,82.6,5610,0.0
Ethiopia,1992,51400000,0.0,4710.0,517,0.0
Fiji,1992,744000,0.0,86.9,5950,0.0
Finland,1992,5040000,95200.0,1510.0,26000,386000.0
France,1992,57100000,159000.0,14900.0,29900,437000.0
Gabon,1992,1000000,0.0,88.5,19000,280.0
Gambia,1992,1030000,0.0,34.4,1430,204.0
Georgia,1992,5300000,0.0,310.0,3420,0.0
Germany,1992,80000000,348000.0,14500.0,33000,972000.0
Ghana,1992,15700000,0.0,658.0,1960,400.0
Greece,1992,10400000,5030.0,449.0,21100,0.0
Grenada,1992,97200,0.0,4.55,7210,181.0
Guatemala,1992,9710000,0.0,694.0,5290,2140.0
Guinea,1992,6720000,0.0,284.0,1350,0.0
Guinea-Bissau,1992,1020000,0.0,71.3,1660,0.0
Guyana,1992,749000,0.0,151.0,3260,841.0
Haiti,1992,7320000,0.0,607.0,1960,0.0
Honduras,1992,5240000,0.0,152.0,3110,0.0
Hungary,1992,10400000,5010.0,4120.0,14700,23300.0
Iceland,1992,260000,4000.0,38.0,28300,15300.0
India,1992,909000000,1010.0,173000.0,1950,0.0
Indonesia,1992,188000000,0.0,6340.0,5090,35500.0
Iran,1992,58800000,0.0,3190.0,12600,0.0
Iraq,1992,18400000,0.0,1170.0,5210,0.0
Ireland,1992,3530000,5990.0,383.0,22500,44000.0
Israel,1992,4750000,14800.0,455.0,21900,36100.0
Italy,1992,57100000,40000.0,5540.0,31800,783000.0
Jamaica,1992,2460000,0.0,37.0,7670,7630.0
Japan,1992,125000000,121000.0,24700.0,31700,1710000.0
Jordan,1992,3980000,0.0,133.0,6810,1460.0
Kazakhstan,1992,16300000,0.0,4050.0,10900,0.0
Kenya,1992,25300000,0.0,964.0,2210,1100.0
Kiribati,1992,74800,0.0,16.3,1900,0.0
Kuwait,1992,1910000,0.0,37.0,46700,51000.0
Kyrgyz Republic,1992,4450000,0.0,622.0,2680,0.0
Lao,1992,4500000,0.0,564.0,1780,290.0
Latvia,1992,2620000,0.0,950.0,8860,1030.0
Lebanon,1992,3080000,0.0,103.0,8850,0.0
Lesotho,1992,1780000,0.0,271.0,1420,0.0
Liberia,1992,2000000,0.0,119.0,654,0.0
Libya,1992,4650000,0.0,145.0,24400,0.0
Lithuania,1992,3690000,0.0,1380.0,11500,267.0
Luxembourg,1992,391000,600.0,75.7,62100,1120.0
Madagascar,1992,12300000,0.0,748.0,1480,0.0
Malawi,1992,9690000,0.0,547.0,731,0.0
Malaysia,1992,19000000,199.0,1340.0,11900,201000.0
Maldives,1992,236000,0.0,13.5,6900,0.0
Mali,1992,8850000,0.0,304.0,1320,0.0
Malta,1992,368000,0.0,21.0,17300,3500.0
Marshall Islands,1992,49200,0.0,7.75,3000,0.0
Mauritania,1992,2140000,0.0,73.3,2760,0.0
Mauritius,1992,1080000,0.0,141.0,8230,2910.0
Mexico,1992,87100000,15100.0,3360.0,14100,313000.0
"Micronesia, Fed. Sts.",1992,101000,0.0,18.1,2890,0.0
Moldova,1992,4380000,0.0,836.0,4650,0.0
Mongolia,1992,2240000,0.0,393.0,4130,0.0
Montenegro,1992,617000,0.0,66.2,11700,0.0
Morocco,1992,25700000,0.0,1060.0,3970,3220.0
Mozambique,1992,13800000,0.0,1020.0,361,0.0
Myanmar,1992,42400000,0.0,3230.0,776,0.0
Namibia,1992,1520000,0.0,163.0,6260,0.0
