country,year,population_total,internet_use,suicide_total,GDP,cell_use
Canada,1991,27900000,0.57,3980.0,30400.0,776000.0
Cape Verde,1991,346000,0.0,33.8,1660.0,0.0
Central African Republic,1991,2880000,0.0,260.0,953.0,0.0
Chad,1991,6160000,0.0,258.0,1170.0,0.0
Chile,1991,13500000,0.0,2310.0,9510.0,36100.0
China,1991,1190000000,0.0,242000.0,1640.0,47500.0
Colombia,1991,33800000,0.0,1950.0,7730.0,0.0
Comoros,1991,424000,0.0,19.3,2370.0,0.0
"Congo, Dem. Rep.",1991,35900000,0.0,2040.0,1220.0,0.0
"Congo, Rep.",1991,2420000,0.0,192.0,5300.0,0.0
Costa Rica,1991,3200000,0.0,170.0,7720.0,0.0
Cote d'Ivoire,1991,12400000,0.0,948.0,3170.0,0.0
Croatia,1991,4760000,0.0,1240.0,13700.0,2020.0
Cuba,1991,10700000,0.0,2220.0,5700.0,0.0
Cyprus,1991,783000,0.0,41.0,22100.0,5130.0
Czech Republic,1991,10300000,0.0,2190.0,17700.0,1240.0
Denmark,1991,5150000,0.19399999999999998,1470.0,34200.0,176000.0
Djibouti,1991,607000,0.0,19.5,2930.0,0.0
Dominica,1991,70400,0.0,2.19,6750.0,0.0
Dominican Republic,1991,7270000,0.0,283.0,5460.0,5610.0
Ecuador,1991,10500000,0.0,579.0,7600.0,0.0
Egypt,1991,57400000,0.0,1710.0,5830.0,4500.0
El Salvador,1991,5340000,0.0,634.0,4520.0,0.0
Equatorial Guinea,1991,433000,0.0,39.0,1670.0,0.0
Eritrea,1991,2270000,0.0,229.0,1390.0,0.0
Estonia,1991,1550000,0.0,502.0,12900.0,570.0
Eswatini,1991,845000,0.0,81.8,5580.0,0.0
Ethiopia,1991,49600000,0.0,4620.0,587.0,0.0
Fiji,1991,735000,0.0,85.2,5680.0,0.0
Finland,1991,5020000,1.4,1540.0,27000.0,319000.0
France,1991,56900000,0.14,14900.0,29600.0,375000.0
Gabon,1991,976000,0.0,86.0,20200.0,0.0
Gambia,1991,993000,0.0,33.0,1440.0,0.0
Georgia,1991,5370000,0.0,306.0,6260.0,0.0
Germany,1991,79500000,0.25,14600.0,32600.0,532000.0
Ghana,1991,15200000,0.0,618.0,1940.0,0.0
Greece,1991,10300000,0.0488,449.0,21100.0,0.0
Grenada,1991,96500,0.0,4.42,7330.0,147.0
Guatemala,1991,9480000,0.0,648.0,5170.0,1220.0
Guinea,1991,6530000,0.0,263.0,1340.0,0.0
Guinea-Bissau,1991,998000,0.0,68.8,1680.0,0.0
Guyana,1991,744000,0.0,151.0,3050.0,0.0
Haiti,1991,7180000,0.0,595.0,2110.0,0.0
Holy See,1991,762,,,,
Honduras,1991,5100000,0.0,148.0,3010.0,0.0
Hungary,1991,10400000,0.0033799999999999998,4190.0,15200.0,8480.0
Iceland,1991,258000,0.505,38.7,29700.0,12900.0
India,1991,891000000,0.0,169000.0,1890.0,0.0
Indonesia,1991,185000000,0.0,6190.0,4860.0,24500.0
Iran,1991,57700000,0.0,3070.0,12500.0,0.0
Iraq,1991,17900000,0.0,1100.0,4050.0,0.0
Ireland,1991,3520000,0.0568,375.0,22000.0,32000.0
Israel,1991,4590000,0.215,428.0,21000.0,23000.0
Italy,1991,57100000,0.0351,5540.0,31600.0,568000.0
Jamaica,1991,2440000,0.0,35.7,7590.0,2450.0
Japan,1991,125000000,0.0404,24500.0,31500.0,1380000.0
Jordan,1991,3760000,0.0,125.0,6070.0,1460.0
Kazakhstan,1991,16400000,0.0,3800.0,11500.0,0.0
Kenya,1991,24500000,0.0,899.0,2300.0,0.0
Kiribati,1991,73700,0.0,16.0,1910.0,0.0
Kuwait,1991,2030000,0.0,36.9,24300.0,43000.0
Kyrgyz Republic,1991,4420000,0.0,607.0,3150.0,0.0
Lao,1991,4380000,0.0,546.0,1730.0,0.0
Latvia,1991,2650000,0.0,872.0,12900.0,0.0
Lebanon,1991,2920000,0.0,101.0,8010.0,0.0
Lesotho,1991,1740000,0.0,268.0,1360.0,0.0
Liberia,1991,2040000,0.0,120.0,932.0,0.0
Libya,1991,4540000,0.0,141.0,25700.0,0.0
Liechtenstein,1991,29200,0.0,,,0.0
Lithuania,1991,3700000,0.0,1310.0,14600.0,0.0
Luxembourg,1991,386000,0.0,76.6,61800.0,1140.0
Madagascar,1991,11900000,0.0,734.0,1500.0,0.0
Malawi,1991,9600000,0.0,519.0,795.0,0.0
Malaysia,1991,18500000,0.0,1310.0,11300.0,130000.0
Maldives,1991,230000,0.0,13.5,6680.0,0.0
Mali,1991,8640000,0.0,296.0,1390.0,0.0
Malta,1991,365000,0.0,20.7,16700.0,2280.0
Marshall Islands,1991,48400,0.0,7.48,2840.0,0.0
Mauritania,1991,2090000,0.0,70.8,2780.0,0.0
Mauritius,1991,1070000,0.0,138.0,7830.0,2500.0
Mexico,1991,85500000,0.00588,3150.0,13900.0,161000.0
"Micronesia, Fed. Sts.",1991,98800,0.0,17.7,2850.0,0.0
Moldova,1991,4380000,0.0,881.0,6560.0,0.0
Monaco,1991,29600,0.0,,,0.0
Mongolia,1991,2220000,0.0,366.0,4610.0,0.0
Montenegro,1991,616000,0.0,64.2,16100.0,0.0
Morocco,1991,25300000,0.0,1030.0,4130.0,1500.0
Mozambique,1991,13300000,0.0,979.0,395.0,0.0
Myanmar,1991,41900000,0.0,3150.0,716.0,0.0
Namibia,1991,1480000,0.0,156.0,6000.0,0.0
Nauru,1991,9770,0.0,,,0.0
Nepal,1991,19400000,0.0,2310.0,1230.0,0.0
Netherlands,1991,15100000,0.531,2030.0,32800.0,115000.0
New Zealand,1991,3450000,0.0,500.0,22700.0,72300.0
Nicaragua,1991,4270000,0.0,230.0,2900.0,0.0
Niger,1991,8290000,0.0,270.0,886.0,0.0
Nigeria,1991,97700000,0.0,3900.0,3290.0,0.0
North Korea,1991,20600000,0.0,2350.0,2240.0,0.0
North Macedonia,1991,1990000,0.0,187.0,9050.0,0.0
Norway,1991,4270000,1.41,696.0,43900.0,234000.0
Oman,1991,1890000,0.0,44.5,35600.0,3670.0
Pakistan,1991,111000000,0.0,3650.0,3120.0,8500.0
Palau,1991,15400,0.0,,,0.0
Palestine,1991,2190000,0.0,44.0,2390.0,0.0
Panama,1991,2520000,0.0,136.0,8420.0,0.0
Papua New Guinea,1991,4730000,0.0,673.0,2370.0,0.0
Paraguay,1991,4330000,0.0,140.0,8000.0,0.0
Peru,1991,22500000,0.0,798.0,5260.0,5700.0
Philippines,1991,63500000,0.0,6610.0,3890.0,34600.0
Poland,1991,38100000,0.005229999999999999,6070.0,9520.0,0.0
Portugal,1991,9920000,0.1,1580.0,21100.0,12600.0
Qatar,1991,487000,0.0,40.6,67800.0,4060.0
Romania,1991,23500000,0.0,2430.0,10100.0,0.0
Russia,1991,148000000,0.0,48100.0,19600.0,300.0
Rwanda,1991,7080000,0.0,593.0,871.0,0.0
Samoa,1991,164000,0.0,25.3,3540.0,0.0
San Marino,1991,24500,0.0,,,0.0
Sao Tome and Principe,1991,122000,0.0,1.93,2020.0,0.0
Saudi Arabia,1991,16800000,0.0,346.0,47500.0,15300.0
Senegal,1991,7760000,0.0,438.0,2310.0,0.0
Serbia,1991,9600000,0.0,1900.0,13300.0,0.0
Seychelles,1991,71400,0.0,11.2,14400.0,0.0
Sierra Leone,1991,4350000,0.0,152.0,1270.0,0.0
Singapore,1991,3100000,0.162,421.0,36200.0,81900.0
Slovak Republic,1991,5310000,0.0,865.0,12400.0,119.0
Slovenia,1991,2010000,0.0,676.0,17200.0,523.0
Solomon Islands,1991,321000,0.0,48.8,1940.0,0.0
Somalia,1991,7270000,0.0,325.0,921.0,0.0
South Africa,1991,37700000,0.0133,6350.0,9560.0,7100.0
South Korea,1991,43400000,0.0461,5760.0,12700.0,166000.0
South Sudan,1991,5420000,0.0,181.0,2180.0,0.0
Spain,1991,39300000,0.0257,3510.0,24300.0,108000.0
Sri Lanka,1991,17500000,0.0,6440.0,3730.0,1800.0
St. Kitts and Nevis,1991,40400,0.0,,,0.0
St. Lucia,1991,140000,0.0,8.13,9530.0,0.0
St. Vincent and the Grenadines,1991,108000,0.0,5.32,5630.0,0.0
Sudan,1991,20900000,0.0,770.0,1850.0,0.0
Suriname,1991,413000,0.0,69.0,10500.0,0.0
Sweden,1991,8630000,1.16,1830.0,30400.0,568000.0
Switzerland,1991,6720000,1.18,1900.0,47100.0,175000.0
Syria,1991,12800000,0.0,234.0,4540.0,0.0
Tajikistan,1991,5400000,0.0,277.0,3330.0,0.0
Tanzania,1991,26100000,0.0,1530.0,1530.0,0.0
Thailand,1991,57200000,5e-05,7800.0,7140.0,124000.0
Timor-Leste,1991,760000,0.0,73.9,2780.0,0.0
Togo,1991,3860000,0.0,247.0,1260.0,0.0
Tonga,1991,95200,0.0,6.38,3800.0,0.0
Trinidad and Tobago,1991,1230000,0.0,158.0,11200.0,426.0
Tunisia,1991,8430000,0.0,252.0,5700.0,1240.0
Turkey,1991,54800000,0.0,2230.0,11300.0,47800.0
Turkmenistan,1991,3790000,0.0,302.0,7710.0,0.0
Tuvalu,1991,9010,0.0,,,0.0
Uganda,1991,18000000,0.0,1900.0,789.0,0.0
Ukraine,1991,51500000,0.0,13400.0,9560.0,0.0
United Arab Emirates,1991,1940000,0.0,77.6,107000.0,43000.0
United Kingdom,1991,57300000,0.174,6280.0,26300.0,1260000.0
United States,1991,255000000,1.16,34700.0,36300.0,7560000.0
Uruguay,1991,3130000,0.0,421.0,10100.0,0.0
Uzbekistan,1991,20900000,0.0,1660.0,3010.0,0.0
Vanuatu,1991,151000,0.0,22.9,2560.0,0.0
Venezuela,1991,20100000,0.0,1250.0,15700.0,16600.0
Vietnam,1991,69400000,0.0,6320.0,1510.0,0.0
Yemen,1991,12300000,0.0,493.0,3470.0,0.0
Zambia,1991,8250000,0.0,464.0,2280.0,0.0
Zimbabwe,1991,10700000,0.0,670.0,2910.0,0.0
Afghanistan,1992,14500000,0.0,820.0,1520.0,0.0
Albania,1992,3250000,0.0,131.0,3020.0,0.0
Algeria,1992,27000000,0.0,843.0,9870.0,4780.0
Andorra,1992,58900,0.0,6.18,27200.0,770.0
Angola,1992,12700000,0.0,667.0,4240.0,0.0
Antigua and Barbuda,1992,64500,0.0,1.32,17500.0,0.0
Argentina,1992,33500000,0.00299,3580.0,13000.0,46600.0
Armenia,1992,3440000,0.0,146.0,1980.0,0.0
Australia,1992,17400000,1.77,2390.0,28000.0,497000.0
Austria,1992,7830000,0.643,1920.0,32400.0,172000.0
Azerbaijan,1992,7470000,0.0,224.0,6550.0,0.0
Bahamas,1992,266000,0.0,7.05,27500.0,2600.0
Bahrain,1992,523000,0.0,39.3,39500.0,9680.0
Bangladesh,1992,108000000,0.0,13200.0,1380.0,250.0
Barbados,1992,263000,0.0,12.7,12500.0,796.0
Belarus,1992,10200000,0.0,2880.0,7450.0,0.0
Belgium,1992,10100000,0.1,2300.0,31400.0,61500.0
Belize,1992,194000,0.0,8.06,6170.0,0.0
Benin,1992,5330000,0.0,335.0,1470.0,0.0
Bhutan,1992,535000,0.0,34.4,2440.0,0.0
Bolivia,1992,7160000,0.0,473.0,3800.0,1550.0
Bosnia and Herzegovina,1992,4230000,0.0,547.0,1830.0,0.0
Botswana,1992,1360000,0.0,165.0,8870.0,0.0
Brazil,1992,154000000,0.0129,9280.0,10100.0,32000.0
Brunei,1992,274000,0.0,11.0,86400.0,4100.0
Bulgaria,1992,8680000,0.0,1690.0,8060.0,0.0
Burkina Faso,1992,9300000,0.0,604.0,875.0,0.0
Burundi,1992,5690000,0.0,625.0,1040.0,0.0
Cambodia,1992,9620000,0.0,502.0,918.0,0.0
Cameroon,1992,12500000,0.0,894.0,2640.0,0.0
Canada,1992,28200000,0.9159999999999999,4040.0,30300.0,1030000.0
Cape Verde,1992,356000,0.0,35.9,1790.0,0.0
Central African Republic,1992,2960000,0.0,264.0,867.0,0.0
Chad,1992,6360000,0.0,273.0,1220.0,0.0
Chile,1992,13700000,0.0365,2190.0,10400.0,64400.0
China,1992,1210000000,0.0,245000.0,1850.0,177000.0
Colombia,1992,34400000,0.0,2010.0,7890.0,0.0
Comoros,1992,436000,0.0,19.9,2500.0,0.0
"Congo, Dem. Rep.",1992,37300000,0.0,2100.0,1050.0,0.0
"Congo, Rep.",1992,2490000,0.0,195.0,5290.0,0.0
Costa Rica,1992,3290000,0.0011099999999999999,177.0,8210.0,3010.0
Cote d'Ivoire,1992,12800000,0.0,1020.0,3050.0,0.0
Croatia,1992,4730000,0.0,1250.0,12200.0,6320.0
Cuba,1992,10700000,0.0,2250.0,4780.0,234.0
Cyprus,1992,801000,0.0501,41.0,23500.0,9740.0
Czech Republic,1992,10400000,0.0,2150.0,17600.0,4650.0
Denmark,1992,5170000,0.387,1430.0,34700.0,211000.0
Djibouti,1992,615000,0.0,20.3,2890.0,0.0
Dominica,1992,70500,0.0,2.3,6870.0,0.0
Dominican Republic,1992,7410000,0.0,300.0,5960.0,7190.0
Ecuador,1992,10700000,0.00512,617.0,7590.0,0.0
Egypt,1992,58700000,0.0,1710.0,5960.0,4910.0
El Salvador,1992,5420000,0.0,618.0,4770.0,0.0
Equatorial Guinea,1992,447000,0.0,39.4,1910.0,0.0
Eritrea,1992,2260000,0.0,219.0,1540.0,0.0
Estonia,1992,1520000,0.0655,523.0,11300.0,2500.0
Eswatini,1992,867000,0.0,82.6,5610.0,0.0
Ethiopia,1992,51400000,0.0,4710.0,517.0,0.0
Fiji,1992,744000,0.0,86.9,5950.0,0.0
Finland,1992,5040000,1.89,1510.0,26000.0,386000.0
France,1992,57100000,0.27899999999999997,14900.0,29900.0,437000.0
Gabon,1992,1000000,0.0,88.5,19000.0,280.0
Gambia,1992,1030000,0.0,34.4,1430.0,204.0
Georgia,1992,5300000,0.0,310.0,3420.0,0.0
Germany,1992,80000000,0.435,14500.0,33000.0,972000.0
Ghana,1992,15700000,0.0,658.0,1960.0,400.0
Greece,1992,10400000,0.0483,449.0,21100.0,0.0
Grenada,1992,97200,0.0,4.55,7210.0,181.0
Guatemala,1992,9710000,0.0,694.0,5290.0,2140.0
Guinea,1992,6720000,0.0,284.0,1350.0,0.0
Guinea-Bissau,1992,1020000,0.0,71.3,1660.0,0.0
Guyana,1992,749000,0.0,151.0,3260.0,841.0
Haiti,1992,7320000,0.0,607.0,1960.0,0.0
